id,t11,t12,t13,t14,t15,t16,t17,t18,t21,t22,t23,t24,t25,t26,t27,t28,t31,t32,t33,t34,t35,t36,t37,t38,t41,t42,t43,t44,t45,t46,t47,t48
id08,p,p,m,p,p,p,p,m,p,m,p,m,m,p,p,m,p,p,p,p,p,aml,p,aml,p,p,p,p,p,p,p,p
id16,m,aml,p,aml,aml,p,aml,aml,aml,aml,p,aml,p,aml,aml,aml,p,p,p,p,p,aml,aml,aml,p,p,p,p,p,aml,aml,aml
id15,p,p,p,p,dna,p,dna,p,p,p,m,p,m,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
id13,p,p,p,p,p,p,p,p,m,p,p,p,dna,aml,dna,p,p,p,p,p,p,p,p,m,p,p,p,p,p,p,p,p
id17,p,m,aml,aml,aml,p,p,m,m,m,aml,aml,p,p,p,m,aml,aml,p,p,p,aml,aml,m,aml,p,p,p,p,p,aml,m
id20,p,p,p,p,p,p,p,p,p,p,m,p,m,p,dna,p,p,p,p,p,p,p,p,p,dna,p,p,p,aml,p,p,p
id01,p,aml,p,p,p,p,p,m,p,p,p,p,m,m,dna,m,p,p,p,m,p,aml,aml,aml,p,p,p,p,dna,aml,p,p
id07,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,m,p,p,dna,p,p,p,dna
id10,p,p,p,p,p,p,p,p,p,p,p,p,dna,p,dna,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
id02,p,p,p,p,p,p,p,p,m,p,p,p,p,p,p,p,m,m,p,p,p,p,m,p,p,p,p,p,m,p,m,p
id18,p,p,p,p,p,p,aml,m,m,p,p,p,p,p,p,p,p,p,p,p,p,p,p,m,p,m,p,p,m,p,m,m
id22,p,p,p,p,aml,p,aml,p,p,m,p,p,p,p,p,p,m,p,p,p,p,p,p,p,m,m,p,p,p,p,p,p
id11,p,p,p,p,p,p,p,p,p,p,p,p,p,aml,p,p,p,p,p,p,p,aml,p,dna,m,p,p,p,p,aml,p,m
id14,p,p,p,p,p,p,p,p,p,p,p,p,p,aml,p,p,p,p,p,p,p,p,aml,m,p,p,p,p,p,p,m,m
id19,p,p,p,p,p,p,p,m,p,p,p,p,p,p,p,p,m,p,p,p,p,p,dna,p,m,m,p,p,p,p,dna,p
id12,m,p,m,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,m,p,p,p,p,p,p,p,m,p
id21,p,p,p,m,aml,p,p,m,p,p,m,p,p,m,m,p,p,p,p,p,aml,aml,p,p,p,p,p,p,m,p,p,p
id03,m,m,p,p,m,p,m,p,m,m,p,p,p,p,p,m,p,p,p,p,p,aml,p,m,p,p,p,p,p,aml,p,m
id05,aml,p,p,p,p,p,p,aml,aml,m,m,p,p,p,p,aml,p,p,p,p,p,p,p,m,aml,p,p,p,m,p,aml,p
id06,p,p,p,p,dna,p,dna,p,p,m,p,p,aml,aml,aml,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,m
id04,p,p,p,p,p,p,p,p,p,p,p,p,dna,p,p,dna,p,p,p,p,p,p,p,p,p,p,p,p,p,aml,p,p
id09,p,p,p,p,p,aml,p,p,m,p,p,p,dna,p,p,dna,aml,p,p,p,p,p,aml,p,p,p,p,p,aml,aml,p,p
